id_sintetico,cenario_id,indice_risco_verdadeiro,theta_latente,aquiescencia,itens_em_branco
RISK-V2-000154,CEN-14,68.02685658,0.65496416,0.2025268,1
RISK-V2-000155,CEN-09,53.85540675,0.05953079,-0.05331818,1
RISK-V2-000156,CEN-14,79.55171131,0.99440318,-0.16467477,0
RISK-V2-000157,CEN-03,38.72333829,-0.59451355,0.05880723,0
RISK-V2-000158,CEN-16,93.53670635,2.10815139,0.14682672,0
RISK-V2-000159,CEN-07,88.97321429,1.61975867,0.06541058,0
RISK-V2-000160,CEN-19,58.84858631,0.39436464,0.10170514,3
RISK-V2-000161,CEN-12,81.25,1.11185345,-0.05595559,0
RISK-V2-000162,CEN-17,36.59350198,-0.56554925,0.03388559,0
RISK-V2-000163,CEN-05,90.41702098,1.90054952,-0.20557438,2
RISK-V2-000164,CEN-10,45.24305556,-0.26458945,0.07022485,0
RISK-V2-000165,CEN-04,26.92894345,-0.58295475,0.32935291,0
RISK-V2-000166,CEN-13,60.97842262,0.56727989,0.35292398,2
RISK-V2-000167,CEN-13,67.32080853,0.64069561,-0.14413111,1
RISK-V2-000168,CEN-04,25.46192956,-1.01207281,-0.17599955,1
RISK-V2-000169,CEN-10,85.39000496,1.13976262,0.00155418,1
RISK-V2-000170,CEN-24,27.11929563,-0.82554859,-0.09225394,2
RISK-V2-000171,CEN-11,16.02306548,-1.21748591,0.04771217,0
RISK-V2-000172,CEN-11,6.11421131,-1.70098813,-0.06038614,0
RISK-V2-000173,CEN-22,39.21768707,-0.52356662,-0.07934658,2
RISK-V2-000174,CEN-18,80.77256944,0.98076746,0.07701653,1
RISK-V2-000175,CEN-11,28.77604167,-0.85313976,0.04082278,0
RISK-V2-000176,CEN-16,71.69518849,0.79797513,0.39911233,1
RISK-V2-000177,CEN-18,46.0063244,-0.20810815,-0.00764757,0
RISK-V2-000178,CEN-10,70.59337798,0.74330037,-0.09978525,2
RISK-V2-000179,CEN-14,23.27132937,-1.12968967,-0.09895579,1
RISK-V2-000180,CEN-07,95.61693948,2.05789188,0.10304038,0
RISK-V2-000181,CEN-19,15.15997024,-1.34713492,-0.07786684,1
RISK-V2-000182,CEN-07,85.47619048,1.64153712,0.12614832,3
RISK-V2-000183,CEN-22,6.18489583,-1.73400163,0.2321916,2
RISK-V2-000184,CEN-24,65.87673611,0.66525903,0.03462641,2
RISK-V2-000185,CEN-24,64.48970734,0.52344668,-0.33425073,0
RISK-V2-000186,CEN-22,51.75905258,0.08786096,0.0643315,0
RISK-V2-000187,CEN-13,67.68840349,0.9603824,0.21859616,4
RISK-V2-000188,CEN-10,51.78013393,-0.05681993,-0.18916526,0
RISK-V2-000189,CEN-09,77.08395337,0.57106421,-0.07583331,0
RISK-V2-000190,CEN-13,42.32886905,0.10463314,0.35030619,1
RISK-V2-000191,CEN-23,69.23363095,0.64197252,-0.00281585,1
RISK-V2-000192,CEN-01,36.92354025,-0.52365488,0.1379373,1
RISK-V2-000193,CEN-01,49.82638889,0.16551973,0.03969555,1
RISK-V2-000194,CEN-13,19.98449901,-0.93771445,0.36358693,0
RISK-V2-000195,CEN-14,50.97718254,0.03057724,0.16977121,2
RISK-V2-000196,CEN-21,8.28807044,-2.00473942,0.17594092,1
RISK-V2-000197,CEN-24,47.04551091,0.00072484,0.21435066,1
RISK-V2-000198,CEN-21,13.23129252,-1.15850413,0.13845178,1
RISK-V2-000199,CEN-13,39.8046875,-0.43849787,-0.13004709,2
RISK-V2-000200,CEN-06,89.83878968,1.51300547,-0.07561214,1
RISK-V2-000201,CEN-01,60.54076318,0.50986562,0.18135344,2
RISK-V2-000202,CEN-01,38.49268353,-0.08031164,0.05186679,2
RISK-V2-000203,CEN-21,20.37202381,-1.04091288,-0.09543135,0
RISK-V2-000204,CEN-02,73.55282738,0.94487245,-0.00519654,0
RISK-V2-000205,CEN-09,95.9077381,1.77980825,-0.07944304,1
RISK-V2-000206,CEN-16,61.57118056,0.58855532,0.1996807,0
RISK-V2-000207,CEN-16,33.59250992,-0.49320497,0.06211485,2
RISK-V2-000208,CEN-10,58.02021329,0.27101363,-0.07929576,0
RISK-V2-000209,CEN-08,48.50074405,-0.24946072,-0.26793828,3
RISK-V2-000210,CEN-07,84.58829365,1.51404733,0.21341779,0
RISK-V2-000211,CEN-06,49.32725694,0.33426205,0.28204761,0
RISK-V2-000212,CEN-24,67.5719246,0.83552472,0.26113511,1
RISK-V2-000213,CEN-20,56.4155506,0.25667765,-0.07286359,1
RISK-V2-000214,CEN-24,50.3210034,0.09869247,0.05659437,3
RISK-V2-000215,CEN-09,59.66269841,-0.00572331,0.09949144,1
RISK-V2-000216,CEN-09,46.00074405,-0.28710053,-0.14934056,1
RISK-V2-000217,CEN-20,56.98474702,0.0888402,0.05737929,2
RISK-V2-000218,CEN-22,6.62078373,-2.04888185,-0.07811509,1
RISK-V2-000219,CEN-24,73.38081066,1.07242482,0.36634743,2
RISK-V2-000220,CEN-02,76.89174107,1.03136744,-0.02132651,0
RISK-V2-000221,CEN-01,65.39744544,0.39845588,-0.18118605,1
RISK-V2-000222,CEN-08,27.09635417,-0.76728042,0.06677857,3
RISK-V2-000223,CEN-17,44.2218502,-0.07898206,0.10495348,1
RISK-V2-000224,CEN-13,26.71378968,-0.79070362,-0.18177886,0
RISK-V2-000225,CEN-09,58.51066468,-0.00321789,-0.21776954,0
RISK-V2-000226,CEN-21,8.64051871,-1.9207237,-0.16685483,3
RISK-V2-000227,CEN-20,61.31820437,0.40959946,-0.007427,0
RISK-V2-000228,CEN-16,95.60081845,2.22750872,0.2528069,1
RISK-V2-000229,CEN-19,14.87174036,-1.41813265,-0.03139435,1
RISK-V2-000230,CEN-05,81.90972222,1.15690064,-0.2256942,2
RISK-V2-000231,CEN-11,22.43551587,-1.0863458,0.23252488,3
RISK-V2-000232,CEN-16,94.36507937,2.15700398,-0.13597298,2
RISK-V2-000233,CEN-23,85.15997024,1.23243631,-0.2300969,2
RISK-V2-000234,CEN-09,50.42410714,0.03307273,0.22724453,3
RISK-V2-000235,CEN-24,85.9858631,1.2417912,-0.09636166,3
RISK-V2-000236,CEN-15,13.52616567,-1.41088241,-0.15807662,0
RISK-V2-000237,CEN-23,87.32700893,1.55163159,-0.05330699,2
RISK-V2-000238,CEN-07,89.46029974,1.56869283,-0.10677553,4
RISK-V2-000239,CEN-02,73.05059524,0.65281867,-0.08499817,2
RISK-V2-000240,CEN-11,27.20176091,-0.62589188,0.07741012,0
RISK-V2-000241,CEN-18,34.53621032,-0.85056131,-0.46122343,1
RISK-V2-000242,CEN-10,57.58804563,0.02168967,-0.32634208,0
RISK-V2-000243,CEN-16,58.19160998,0.23301173,0.24119399,3
RISK-V2-000244,CEN-09,70.3093998,0.69799329,0.24140584,0
RISK-V2-000245,CEN-06,94.64657738,1.77413195,-0.00476431,4
RISK-V2-000246,CEN-09,70.60391865,0.91169499,0.1140245,1
RISK-V2-000247,CEN-13,87.7436756,1.34691978,0.05010146,0
RISK-V2-000248,CEN-03,14.5610119,-1.35946416,0.01076525,3
RISK-V2-000249,CEN-16,91.35354663,1.40822202,-0.10568629,0
RISK-V2-000250,CEN-22,2.40823413,-2.2112267,-0.24482194,1
RISK-V2-000251,CEN-12,63.49082341,0.39654477,-0.14808622,2
RISK-V2-000252,CEN-01,35.63988095,-0.22160077,0.53818537,1
RISK-V2-000253,CEN-21,2.0703125,-2.3432412,-0.11082307,1
RISK-V2-000254,CEN-15,0.0,-2.26864798,0.36626363,5
RISK-V2-000255,CEN-22,5.17290249,-1.73037695,0.12131588,2
RISK-V2-000256,CEN-19,4.80902778,-1.69773176,0.37927332,0
RISK-V2-000257,CEN-13,77.48325893,0.91110781,-0.0195365,1
RISK-V2-000258,CEN-07,99.33035714,3.34886943,0.38309691,1
RISK-V2-000259,CEN-09,74.39094388,1.05958883,0.2326661,1
RISK-V2-000260,CEN-17,26.4936756,-0.56091472,0.25604985,0
RISK-V2-000261,CEN-24,55.37574405,0.26455531,0.20084374,0
RISK-V2-000262,CEN-17,48.79278274,-0.24737165,-0.23905087,1
RISK-V2-000263,CEN-24,53.47284226,0.33799941,0.14979194,3
RISK-V2-000264,CEN-23,95.71428571,2.11597933,-0.02527247,2
RISK-V2-000265,CEN-01,19.14558532,-0.85860862,0.21178668,1
RISK-V2-000266,CEN-22,14.34833829,-1.83152231,-0.57444511,1
RISK-V2-000267,CEN-06,70.95663265,0.66010906,-0.25826121,1
RISK-V2-000268,CEN-02,39.78980655,-0.02744281,0.00361129,2
RISK-V2-000269,CEN-13,68.51686508,0.32515037,-0.51107401,1
RISK-V2-000270,CEN-17,35.36750638,-0.46114596,-0.38043349,3
RISK-V2-000271,CEN-23,97.0184949,2.27783477,-0.17626452,1
RISK-V2-000272,CEN-09,50.83209325,-0.02302297,-0.03136956,1
RISK-V2-000273,CEN-15,5.60329861,-2.00500231,0.19259589,0
RISK-V2-000274,CEN-19,26.33184524,-0.5921739,0.13647045,0
RISK-V2-000275,CEN-10,47.79637897,-0.07980272,-0.0673933,1
RISK-V2-000276,CEN-20,54.96465774,0.0474627,0.19191784,2
RISK-V2-000277,CEN-04,48.37859623,-0.24570702,-0.23120859,2
RISK-V2-000278,CEN-01,47.96316964,-0.06625648,-0.00413879,0
RISK-V2-000279,CEN-05,83.51810516,1.38798204,0.18073108,0
RISK-V2-000280,CEN-19,20.80543155,-0.94788959,-0.10281872,1
RISK-V2-000281,CEN-21,4.13566468,-1.55360317,0.24016678,2
RISK-V2-000282,CEN-10,82.03337585,0.92025619,-0.12346669,3
RISK-V2-000283,CEN-02,61.68712798,0.57781877,0.37157323,0
RISK-V2-000284,CEN-17,40.0421627,-0.19613223,0.09172793,3
RISK-V2-000285,CEN-21,5.33854167,-1.91076462,-0.30963417,4
RISK-V2-000286,CEN-05,98.85602679,2.69473905,0.06246443,0
RISK-V2-000287,CEN-15,3.69543651,-2.4836203,-0.14656845,0
RISK-V2-000288,CEN-04,4.45994544,-2.13584663,0.22847336,1
RISK-V2-000289,CEN-17,73.38665675,0.85068373,-0.03913436,0
RISK-V2-000290,CEN-13,70.56671627,0.76244714,0.11034519,1
RISK-V2-000291,CEN-18,72.22904266,0.72046409,-0.36486373,1
RISK-V2-000292,CEN-03,43.89880952,-0.1849642,0.12902609,2
RISK-V2-000293,CEN-12,49.73338294,0.09134789,0.04569714,1
RISK-V2-000294,CEN-22,8.44494048,-1.21129159,0.12729299,1
RISK-V2-000295,CEN-10,50.91765873,0.16026855,0.06887987,1
RISK-V2-000296,CEN-14,42.18067956,-0.29947576,0.01614106,0
RISK-V2-000297,CEN-21,22.23772321,-1.03906527,0.3991052,1
RISK-V2-000298,CEN-15,20.50037202,-1.14157511,-0.1952889,0
RISK-V2-000299,CEN-11,51.90414187,-0.21224584,-0.19894271,0
RISK-V2-000300,CEN-14,68.82936508,0.46299296,0.13983823,2
RISK-V2-000301,CEN-22,19.7984871,-1.04206179,-0.11234239,2
RISK-V2-000302,CEN-01,36.27232143,-0.17044756,0.42795706,1
RISK-V2-000303,CEN-08,34.21068948,-0.72709755,-0.05385975,1
RISK-V2-000304,CEN-01,27.13479663,-1.20705882,-0.3125072,1
RISK-V2-000305,CEN-07,97.8218006,2.33738658,0.10560297,2
RISK-V2-000306,CEN-24,38.513322,-0.77456827,-0.30029679,1
RISK-V2-000307,CEN-18,67.29910714,0.98413774,0.20594352,2
RISK-V2-000308,CEN-05,36.95613662,-0.13393434,0.10619815,2
RISK-V2-000309,CEN-21,10.67584325,-1.53011924,0.09931007,1
RISK-V2-000310,CEN-13,74.55853175,0.48927677,-0.41542119,0
RISK-V2-000311,CEN-23,84.03459821,1.19144123,0.01182397,0
RISK-V2-000312,CEN-20,39.55729167,-0.57377352,-0.09878246,1
RISK-V2-000313,CEN-14,50.94804067,0.20685767,0.01076544,0
RISK-V2-000314,CEN-19,25.5828373,-0.87233644,-0.07865364,2
RISK-V2-000315,CEN-13,65.16927083,0.5580246,-0.15547014,1
RISK-V2-000316,CEN-24,88.7016369,1.38692299,-0.08827703,4
RISK-V2-000317,CEN-15,10.67708333,-1.49473278,-0.40169705,2
RISK-V2-000318,CEN-06,28.3110119,-0.65900006,0.19139271,2
RISK-V2-000319,CEN-22,8.50384425,-1.75531956,0.03366116,0
RISK-V2-000320,CEN-03,19.5610119,-0.92445183,0.09258659,3
RISK-V2-000321,CEN-24,59.6937004,0.05988765,-0.16842699,2
RISK-V2-000322,CEN-19,22.98859127,-0.97071908,0.31792161,0
RISK-V2-000323,CEN-08,44.1889881,-0.26848281,-0.07310154,2
RISK-V2-000324,CEN-13,72.84164187,0.43901211,0.07040858,0
RISK-V2-000325,CEN-14,21.12165179,-1.02631664,0.08237919,0
RISK-V2-000326,CEN-22,51.10863095,-0.14511698,-0.10486602,3
RISK-V2-000327,CEN-15,50.63208617,-0.43766439,-0.11274922,2
RISK-V2-000328,CEN-23,59.5405506,0.54779261,0.44254862,1
RISK-V2-000329,CEN-05,90.45014881,1.52538594,-0.1674897,0
RISK-V2-000330,CEN-01,84.22477324,1.04958391,-0.23192551,2
RISK-V2-000331,CEN-03,25.27467758,-0.92432558,-0.20204129,1
RISK-V2-000332,CEN-20,54.57217262,0.31901659,0.2151757,1
RISK-V2-000333,CEN-04,2.1577381,-2.36256774,-0.10759031,0
RISK-V2-000334,CEN-17,14.23921131,-1.11518992,0.13924298,0
RISK-V2-000335,CEN-17,74.07986111,1.09458454,-0.01900768,1
RISK-V2-000336,CEN-05,97.82366071,1.99783646,-0.04109488,0
RISK-V2-000337,CEN-07,88.80022321,1.19071367,0.02817745,0
RISK-V2-000338,CEN-18,94.99937996,1.69836162,-0.19020667,1
RISK-V2-000339,CEN-11,1.10677083,-3.24350853,0.13914912,1
RISK-V2-000340,CEN-19,34.94605655,-0.42832759,0.06900572,0
RISK-V2-000341,CEN-24,76.03280896,0.6586954,-0.3123371,4
RISK-V2-000342,CEN-20,28.67205215,-1.10235618,-0.3227525,1
RISK-V2-000343,CEN-24,66.14955357,0.79511222,0.37261988,1
RISK-V2-000344,CEN-11,33.44246032,-0.78559724,-0.30043927,0
RISK-V2-000345,CEN-22,3.90625,-1.93020444,-0.23372122,0
RISK-V2-000346,CEN-11,10.44465703,-1.7612226,-0.23272202,3
RISK-V2-000347,CEN-12,38.24971655,-0.09205358,0.18442099,1
RISK-V2-000348,CEN-16,79.9125744,1.02653043,-0.10543785,1
RISK-V2-000349,CEN-23,98.80022321,2.61612916,0.19562426,7
RISK-V2-000350,CEN-03,46.35974702,-0.147373,-0.02286637,2
RISK-V2-000351,CEN-05,75.78125,1.11033162,0.05541898,2
RISK-V2-000352,CEN-23,66.09410431,0.58041013,0.24668723,3
RISK-V2-000353,CEN-17,78.94097222,0.92003869,0.00508159,1
RISK-V2-000354,CEN-17,69.3266369,0.71688536,0.15599893,2
RISK-V2-000355,CEN-21,21.68464782,-1.30214014,-0.18819331,1
RISK-V2-000356,CEN-09,77.09635417,0.64437864,-0.22331761,1
RISK-V2-000357,CEN-14,23.24404762,-1.08585569,-0.23042493,3
RISK-V2-000358,CEN-07,92.64322917,1.7610726,0.10933375,2
RISK-V2-000359,CEN-06,91.60528274,1.67955021,-0.2614173,0
RISK-V2-000360,CEN-02,92.39025298,1.6179456,0.17063921,0
RISK-V2-000361,CEN-24,45.43960813,-0.24401414,-0.11013796,0
RISK-V2-000362,CEN-02,89.68563988,1.5204859,-0.32524498,0
RISK-V2-000363,CEN-04,8.1547619,-1.9761705,-0.16250905,0
RISK-V2-000364,CEN-02,80.57167659,1.29117466,0.3151641,0
RISK-V2-000365,CEN-13,29.51388889,-0.64050479,0.01245433,3
RISK-V2-000366,CEN-23,43.56460813,-0.3484875,-0.15191962,0
RISK-V2-000367,CEN-24,66.32440476,0.84339896,0.39352819,0
RISK-V2-000368,CEN-10,98.16468254,2.07847731,0.36626653,0
RISK-V2-000369,CEN-17,57.29972718,0.36759181,0.07865109,0
RISK-V2-000370,CEN-01,14.23894558,-1.26965207,-0.13583794,2
RISK-V2-000371,CEN-11,15.4203869,-1.23490128,0.20822983,3
RISK-V2-000372,CEN-11,24.78493481,-0.98127369,0.06509012,2
RISK-V2-000373,CEN-22,2.12363591,-1.94822973,0.47361794,1
RISK-V2-000374,CEN-21,8.99863591,-1.81403222,-0.32132205,0
RISK-V2-000375,CEN-10,86.72406463,1.51609493,0.09617973,1
RISK-V2-000376,CEN-06,54.15054563,0.31876064,-0.17353123,1
