id_sintetico,cenario_id,ghe_codigo,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,H1,H2,H3,I1,I2,I3,I4,I5,I6,I7,I8,I9,J1,J2,J3,J4,J5,J6,J7,J8
RISK-V2-000011,CEN-10,GHE-04,2.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0
RISK-V2-000012,CEN-19,GHE-01,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RISK-V2-000013,CEN-04,GHE-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
RISK-V2-000014,CEN-06,GHE-06,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,,1.0,3.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0
RISK-V2-000015,CEN-10,GHE-04,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0
RISK-V2-000016,CEN-05,GHE-05,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,5.0,1.0,5.0,,1.0,1.0,5.0,4.0,4.0,5.0,,5.0,5.0,5.0
RISK-V2-000017,CEN-10,GHE-04,,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,,2.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,,4.0,3.0,3.0,4.0,4.0,,3.0,4.0,4.0,3.0,3.0,4.0
RISK-V2-000018,CEN-08,GHE-02,2.0,3.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,,2.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,5.0,2.0,3.0
RISK-V2-000019,CEN-09,GHE-03,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,3.0,,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,,4.0,4.0,1.0,4.0,3.0,3.0,4.0
RISK-V2-000020,CEN-24,GHE-06,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0
RISK-V2-000021,CEN-19,GHE-01,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,1.0,5.0,2.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
RISK-V2-000022,CEN-13,GHE-01,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,,5.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0
RISK-V2-000023,CEN-15,GHE-03,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
RISK-V2-000024,CEN-07,GHE-01,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0
RISK-V2-000025,CEN-05,GHE-05,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,3.0,5.0,1.0,4.0,2.0,5.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0
RISK-V2-000026,CEN-08,GHE-02,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
RISK-V2-000027,CEN-20,GHE-02,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0
RISK-V2-000028,CEN-06,GHE-06,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0
RISK-V2-000029,CEN-11,GHE-05,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,2.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0
RISK-V2-000030,CEN-11,GHE-05,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0
RISK-V2-000031,CEN-16,GHE-04,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,4.0,2.0,5.0,,2.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0
RISK-V2-000032,CEN-05,GHE-05,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
RISK-V2-000033,CEN-19,GHE-01,5.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
RISK-V2-000034,CEN-21,GHE-03,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0
RISK-V2-000035,CEN-24,GHE-06,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
RISK-V2-000036,CEN-14,GHE-02,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,,4.0,3.0,2.0,2.0,1.0,,1.0,2.0,3.0
RISK-V2-000037,CEN-22,GHE-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
RISK-V2-000038,CEN-05,GHE-05,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,,5.0,2.0,5.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
RISK-V2-000039,CEN-13,GHE-01,3.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,5.0,,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0
RISK-V2-000040,CEN-11,GHE-05,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
RISK-V2-000041,CEN-06,GHE-06,4.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0
RISK-V2-000042,CEN-20,GHE-02,,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,,2.0
RISK-V2-000043,CEN-04,GHE-04,3.0,3.0,4.0,4.0,4.0,,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,,3.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0
RISK-V2-000044,CEN-17,GHE-05,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0
RISK-V2-000045,CEN-21,GHE-03,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,2.0,5.0,5.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0
RISK-V2-000046,CEN-14,GHE-02,2.0,4.0,3.0,3.0,,3.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0
RISK-V2-000047,CEN-02,GHE-02,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,5.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
RISK-V2-000048,CEN-08,GHE-02,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,,4.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0
RISK-V2-000049,CEN-04,GHE-04,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
RISK-V2-000050,CEN-14,GHE-02,5.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0
RISK-V2-000051,CEN-03,GHE-03,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0
RISK-V2-000052,CEN-21,GHE-03,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
RISK-V2-000053,CEN-15,GHE-03,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
RISK-V2-000054,CEN-17,GHE-05,4.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0
RISK-V2-000055,CEN-02,GHE-02,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0
RISK-V2-000056,CEN-11,GHE-05,5.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
RISK-V2-000057,CEN-13,GHE-01,5.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
RISK-V2-000058,CEN-14,GHE-02,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0
RISK-V2-000059,CEN-18,GHE-06,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0
RISK-V2-000060,CEN-14,GHE-02,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,,2.0,,,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,5.0,5.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0
RISK-V2-000061,CEN-22,GHE-04,3.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0
RISK-V2-000062,CEN-13,GHE-01,3.0,5.0,3.0,4.0,3.0,,4.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
RISK-V2-000063,CEN-22,GHE-04,4.0,4.0,5.0,5.0,5.0,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0
RISK-V2-000064,CEN-10,GHE-04,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0
RISK-V2-000065,CEN-08,GHE-02,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,1.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0
RISK-V2-000066,CEN-05,GHE-05,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0
RISK-V2-000067,CEN-23,GHE-05,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,,5.0
